scope,principle,n,r_rb,ci_lo,ci_hi
POOLED,SRP,92415,0.022015143980555707,0.017491234623648634,0.026731693681740866
Q1 (1-3),SRP,43703,-0.036172161172161266,-0.037866300366300454,-0.03438587454212464
Q2 (4-5),SRP,12519,-0.00923447476374184,-0.017429155964608357,-0.000739161622265584
Q3 (6-9),SRP,13976,-0.01750142078036232,-0.024343364666805267,-0.010960704011588225
Q4 (>=10),SRP,22217,-0.07593476633724316,-0.08623165245235133,-0.06613090018109913
POOLED,OCP,92415,-0.013925602366237966,-0.018434950359932905,-0.009524098378644853
Q1 (1-3),OCP,43703,0.0033215878324573955,-0.04143830128205135,0.09077199295269947
Q2 (4-5),OCP,12519,-0.026297138468072134,-0.03439776292600989,-0.017461166100956688
Q3 (6-9),OCP,13976,-0.05284690410911841,-0.06136079321464052,-0.04424483442485942
Q4 (>=10),OCP,22217,-0.178854791194464,-0.1888711413700356,-0.16900358466590218
POOLED,DIP,92415,0.1403102998675978,0.1329643955860415,0.14821753993678938
Q1 (1-3),DIP,43703,0.17753125497690714,0.007640149705367055,0.38919493549928336
Q2 (4-5),DIP,12519,0.048209230655483215,0.0256549982635079,0.06993541268105807
Q3 (6-9),DIP,13976,-0.017009938863556284,-0.031249992238042097,-0.003898689408919382
Q4 (>=10),DIP,22217,0.01754310931666081,0.003947960493736727,0.030933437860682405
