project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
commonslang,main/java/org/apache/commons/lang3/AnnotationUtils.java,99,109,1,T3,1,T3:65,11,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/AnnotationUtils.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,40,45,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,55,60,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,70,75,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,85,90,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,100,105,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,115,120,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,130,135,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArrayFill.java,172,177,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayFill.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,37,42,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,51,56,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,65,70,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,79,84,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,93,98,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,107,112,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,121,126,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,136,141,1,T3,1,T3:100,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
commonslang,main/java/org/apache/commons/lang3/ArraySorter.java,153,158,1,T3,1,T3:49,6,systems/NicadRun/commons-lang-master/src/main/java/org/apache/commons/lang3/ArraySorter.java
