project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
fitnesse,eg/bowling/BowlingGame.java,50,58,1,T3,2,T2:1;T3:1,10,systems/NicadRun/fitnesse-master/src/eg/bowling/BowlingGame.java
fitnesse,eg/bowling/BowlingGame.java,76,86,1,T3,1,T3:1,10,systems/NicadRun/fitnesse-master/src/eg/bowling/BowlingGame.java
fitnesse,eg/bowling/BowlingGame.java,88,96,1,T3,2,T2:1;T3:1,10,systems/NicadRun/fitnesse-master/src/eg/bowling/BowlingGame.java
fitnesse,eg/bowling/fixtures/FinalScore.java,13,17,1,T3,2,T2:2;T3:2,5,systems/NicadRun/fitnesse-master/src/eg/bowling/fixtures/FinalScore.java
fitnesse,eg/bowling/fixtures/FinalScore.java,19,26,1,T3,3,T1:2;T2:3;T3:3,8,systems/NicadRun/fitnesse-master/src/eg/bowling/fixtures/FinalScore.java
fitnesse,eg/bowling/fixtures/ScoreGame.java,18,22,1,T3,3,T1:1;T2:2;T3:2,5,systems/NicadRun/fitnesse-master/src/eg/bowling/fixtures/ScoreGame.java
fitnesse,eg/bowling/fixtures/SimpleScoreGame.java,13,17,1,T3,3,T1:1;T2:2;T3:2,5,systems/NicadRun/fitnesse-master/src/eg/bowling/fixtures/SimpleScoreGame.java
fitnesse,eg/bowling/fixtures/SimpleScoreGame.java,19,26,1,T3,3,T1:2;T2:3;T3:3,8,systems/NicadRun/fitnesse-master/src/eg/bowling/fixtures/SimpleScoreGame.java
fitnesse,eg/triviaGameExample/Game.java,14,20,1,T3,1,T3:4,5,systems/NicadRun/fitnesse-master/src/eg/triviaGameExample/Game.java
fitnesse,eg/triviaGameExample/Game.java,30,36,1,T3,1,T3:5,6,systems/NicadRun/fitnesse-master/src/eg/triviaGameExample/Game.java
fitnesse,fit/ActionFixture.java,18,27,1,T3,1,T3:13,9,systems/NicadRun/fitnesse-master/src/fit/ActionFixture.java
fitnesse,fit/Binding.java,136,146,1,T3,1,T3:14,11,systems/NicadRun/fitnesse-master/src/fit/Binding.java
fitnesse,fit/Binding.java,158,168,1,T3,1,T3:14,11,systems/NicadRun/fitnesse-master/src/fit/Binding.java
fitnesse,fit/Counts.java,12,17,1,T3,2,T2:5;T3:10,6,systems/NicadRun/fitnesse-master/src/fit/Counts.java
fitnesse,fit/Counts.java,39,47,1,T3,1,T3:11,5,systems/NicadRun/fitnesse-master/src/fit/Counts.java
fitnesse,fit/FileRunner.java,34,42,1,T3,1,T3:8,9,systems/NicadRun/fitnesse-master/src/fit/FileRunner.java
