clone_type,predictor,coef,odds_ratio,OR_CI_lower_95,OR_CI_upper_95,p_value,significant_05
overall,Intercept,-2.2354,0.107,0.1014,0.1128,0.0,Yes
overall,SRP,0.2613,1.2987,1.2182,1.3845,0.0,Yes
overall,OCP,-0.0195,0.9807,0.9322,1.0318,0.4526,No
overall,DIP,0.0337,1.0342,0.9824,1.0888,0.1997,No
overall,METHOD_LOC,0.5567,1.7449,1.6494,1.8459,0.0,Yes
T3,Intercept,-2.2361,0.1069,0.1014,0.1127,0.0,Yes
T3,SRP,0.2599,1.2969,1.2165,1.3825,0.0,Yes
T3,OCP,-0.0177,0.9825,0.9338,1.0338,0.496,No
T3,DIP,0.0328,1.0334,0.9816,1.0879,0.211,No
T3,METHOD_LOC,0.5557,1.7431,1.6477,1.844,0.0,Yes
