project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
jackson-databind_,ContainerBuilder.java,65,72,1,T3,1,T3:1,9,systems/NicadRun/jackson-databind-2.19/attic/ContainerBuilder.java
jackson-databind_,ContainerBuilder.java,74,82,1,T3,1,T3:1,9,systems/NicadRun/jackson-databind-2.19/attic/ContainerBuilder.java
jackson-databind_,ContainerBuilder.java,84,92,1,T3,1,T3:1,9,systems/NicadRun/jackson-databind-2.19/attic/ContainerBuilder.java
jackson-databind_,ContainerBuilder.java,115,125,1,T3,1,T3:2,11,systems/NicadRun/jackson-databind-2.19/attic/ContainerBuilder.java
jackson-databind_,ContainerBuilder.java,156,167,1,T3,1,T3:2,11,systems/NicadRun/jackson-databind-2.19/attic/ContainerBuilder.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java,1020,1028,1,T3,2,T2:222;T3:361,8,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java,1043,1051,1,T3,2,T2:222;T3:361,8,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/BeanDescription.java,257,266,1,T3,1,T3:283,10,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/BeanDescription.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/BeanProperty.java,232,240,1,T3,2,T2:97;T3:27,8,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/BeanProperty.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/BeanProperty.java,287,298,1,T3,1,T3:152,12,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/BeanProperty.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/BeanProperty.java,301,313,1,T3,1,T3:152,12,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/BeanProperty.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DatabindContext.java,162,167,1,T3,1,T3:29,6,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DatabindContext.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DatabindContext.java,363,394,1,T3,1,T3:115,25,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DatabindContext.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DatabindContext.java,456,462,1,T3,1,T3:116,6,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DatabindContext.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DatabindContext.java,477,483,1,T3,1,T3:116,6,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DatabindContext.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,115,130,1,T3,1,T3:98,12,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,137,152,1,T3,1,T3:13,10,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,161,176,1,T3,1,T3:99,12,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,182,194,1,T3,2,T2:66;T3:13,12,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,196,208,1,T3,2,T2:66;T3:13,12,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java
jackson-databind_,main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,210,222,1,T3,1,T3:13,10,systems/NicadRun/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java
