project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
jmeter,main/java/org/apache/jmeter/assertions/HTMLAssertion.java,282,287,1,T3,2,T2:223;T3:357,6,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/HTMLAssertion.java
jmeter,main/java/org/apache/jmeter/assertions/HTMLAssertion.java,297,302,1,T3,2,T2:223;T3:357,6,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/HTMLAssertion.java
jmeter,main/java/org/apache/jmeter/assertions/SMIMEAssertion.java,244,260,1,T3,1,T3:365,14,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/SMIMEAssertion.java
jmeter,main/java/org/apache/jmeter/assertions/SMIMEAssertion.java,262,277,1,T3,1,T3:365,14,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/SMIMEAssertion.java
jmeter,main/java/org/apache/jmeter/assertions/XMLSchemaAssertion.java,151,158,1,T3,2,T2:228;T3:366,7,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/XMLSchemaAssertion.java
jmeter,main/java/org/apache/jmeter/assertions/XMLSchemaAssertion.java,165,171,1,T3,2,T2:228;T3:366,7,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/XMLSchemaAssertion.java
jmeter,main/java/org/apache/jmeter/assertions/gui/AssertionGui.java,149,153,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/AssertionGui.java,219,237,1,T3,1,T3:363,17,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/AssertionGui.java,380,384,1,T3,1,T3:220,6,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/AssertionGui.java,386,395,1,T3,2,T2:139;T3:221,10,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/AssertionGui.java,403,433,1,T3,1,T3:364,22,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/AssertionGui.java,501,521,1,T3,1,T3:354,20,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,68,72,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,94,100,1,T3,3,T1:15;T2:79;T3:123,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,111,122,1,T3,1,T3:108,9,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,124,139,1,T3,3,T1:16;T2:80;T3:124,13,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,141,158,1,T3,2,T2:81;T3:125,14,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,161,167,1,T3,1,T3:208,7,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/DurationAssertionGui.java,57,61,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/DurationAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java,97,101,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java,155,166,1,T3,1,T3:119,10,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java,269,277,1,T3,1,T3:100,9,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java,78,105,1,T3,2,T2:221;T3:356,22,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java,108,116,1,T3,1,T3:208,7,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java,119,123,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java,131,142,1,T3,2,T2:222;T3:160,12,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java,145,156,1,T3,2,T2:222;T3:160,12,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/JSONPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/MD5HexAssertionGUI.java,47,69,1,T3,1,T3:362,14,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/MD5HexAssertionGUI.java
jmeter,main/java/org/apache/jmeter/assertions/gui/MD5HexAssertionGUI.java,72,76,1,T3,1,T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/MD5HexAssertionGUI.java
jmeter,main/java/org/apache/jmeter/assertions/gui/MD5HexAssertionGUI.java,87,93,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/MD5HexAssertionGUI.java
jmeter,main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java,96,106,1,T3,1,T3:217,9,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java,108,119,1,T3,1,T3:145,8,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java,178,184,1,T3,1,T3:145,8,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java,212,229,1,T3,1,T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java,232,236,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/SMIMEAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/SizeAssertionGui.java,86,90,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/SizeAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/SizeAssertionGui.java,122,139,1,T3,1,T3:363,17,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/SizeAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLAssertionGui.java,45,49,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLAssertionGui.java,64,69,1,T3,3,T1:67;T2:201;T3:319,6,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java,112,121,1,T3,2,T2:226;T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java,124,133,1,T3,2,T2:226;T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java,136,146,1,T3,2,T2:227;T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java,149,159,1,T3,2,T2:227;T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLConfPanel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLSchemaAssertionGUI.java,69,74,1,T3,1,T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLSchemaAssertionGUI.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLSchemaAssertionGUI.java,106,110,1,T3,1,T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLSchemaAssertionGUI.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XMLSchemaAssertionGUI.java,115,139,1,T3,1,T3:362,14,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XMLSchemaAssertionGUI.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java,57,61,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java,68,75,1,T3,1,T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java,77,95,1,T3,1,T3:361,16,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java,102,111,1,T3,1,T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java,117,122,1,T3,1,T3:208,7,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2AssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java,105,111,1,T3,1,T3:220,6,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java,113,122,1,T3,3,T1:55;T2:139;T3:221,10,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java,172,178,1,T3,2,T2:224;T3:121,6,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java,185,191,1,T3,1,T3:358,7,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java,199,205,1,T3,3,T1:77;T2:225;T3:359,7,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java,233,256,1,T3,1,T3:360,19,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPath2Panel.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java,57,61,1,T3,2,T2:14;T3:35,5,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java,68,76,1,T3,1,T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java,78,102,1,T3,1,T3:361,16,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java
jmeter,main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java,110,119,1,T3,1,T3:160,11,systems/NicadRun/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/gui/XPathAssertionGui.java
