project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
junit5,test/java/example/AssertionsDemo.java,137,144,1,T3,1,T3:87,5,systems/NicadRun/junit5-main/documentation/src/test/java/example/AssertionsDemo.java
junit5,test/java/example/AssertionsDemo.java,151,158,1,T3,1,T3:87,5,systems/NicadRun/junit5-main/documentation/src/test/java/example/AssertionsDemo.java
junit5,test/java/example/CustomLauncherInterceptor.java,46,53,1,T3,1,T3:85,7,systems/NicadRun/junit5-main/documentation/src/test/java/example/CustomLauncherInterceptor.java
junit5,test/java/example/FirstCustomEngine.java,48,66,1,T3,3,T1:9;T2:37;T3:82,12,systems/NicadRun/junit5-main/documentation/src/test/java/example/FirstCustomEngine.java
junit5,test/java/example/ParameterizedTestDemo.java,226,230,1,T3,2,T2:39;T3:84,5,systems/NicadRun/junit5-main/documentation/src/test/java/example/ParameterizedTestDemo.java
junit5,test/java/example/ParameterizedTestDemo.java,300,304,1,T3,2,T2:39;T3:84,5,systems/NicadRun/junit5-main/documentation/src/test/java/example/ParameterizedTestDemo.java
junit5,test/java/example/SecondCustomEngine.java,48,66,1,T3,3,T1:9;T2:37;T3:82,12,systems/NicadRun/junit5-main/documentation/src/test/java/example/SecondCustomEngine.java
junit5,test/java/example/defaultmethods/ComparableContract.java,30,34,1,T3,1,T3:86,5,systems/NicadRun/junit5-main/documentation/src/test/java/example/defaultmethods/ComparableContract.java
junit5,test/java/example/defaultmethods/ComparableContract.java,37,41,1,T3,1,T3:86,5,systems/NicadRun/junit5-main/documentation/src/test/java/example/defaultmethods/ComparableContract.java
junit5,test/java/example/exception/ExceptionAssertionDemo.java,23,39,1,T3,2,T2:38;T3:83,9,systems/NicadRun/junit5-main/documentation/src/test/java/example/exception/ExceptionAssertionDemo.java
junit5,test/java/example/exception/ExceptionAssertionExactDemo.java,26,42,1,T3,2,T2:38;T3:83,9,systems/NicadRun/junit5-main/documentation/src/test/java/example/exception/ExceptionAssertionExactDemo.java
