project,display_name,principle,mean_cloned,mean_non_cloned,diff,mann_whitney_u,p_value,r_rb,bonf_stars,bonferroni_threshold,bonferroni_sig,bh_q_value,bh_sig,bonf_tier
commonslang,Commons Lang,DIP,1.816932788711474,1.8657192575406032,-0.048786468829129,8761729.0,2.72140729382797e-13,0.0564037510672595,***,0.0020833333333333333,True,1.088562917531188e-12,True,***
fitnesse,FitNesse,DIP,1.598503740648379,1.6268399923532786,-0.0283362517048995,997203.5,0.0361737268910688,0.0492097990542664,,0.0020833333333333333,False,0.05787796302571008,False,
hibernate-orm,Hibernate ORM,DIP,1.768242848803269,1.8054591246341296,-0.0372162758308607,12170741.5,0.0004712524228913,0.0327509489808005,*,0.0020833333333333333,True,0.0010281871044901091,True,*
jackson-databind_,Jackson Databind,DIP,1.6414054426455391,1.7686578624078624,-0.1272524197623232,16900107.0,1.2459767572619516e-36,0.1060195396442382,***,0.0020833333333333333,True,7.47586054357171e-36,True,***
jmeter,JMeter,DIP,1.4135687732342008,1.6418114031099391,-0.2282426298757383,9810794.0,4.277220318336011e-57,0.1708794862268959,***,0.0020833333333333333,True,3.421776254668809e-56,True,***
junit5,JUnit 5,DIP,1.8245231607629429,1.825095824087149,-0.0005726633242066,8975405.5,0.1438581817609022,0.0132682761118919,,0.0020833333333333333,False,0.17262981811308264,False,
selenium-trunk,Selenium,DIP,1.7678062678062678,1.7168998923573735,0.0509063754488943,1693165.5,0.0203438235936161,-0.0385001794043775,,0.0020833333333333333,False,0.03487512616048474,True,
struts,Struts,DIP,1.2141425708559976,1.7149662921348314,-0.5008237212788338,11638141.5,0.0,0.4010162733170996,***,0.0020833333333333333,True,0.0,True,***
commonslang,Commons Lang,OCP,1.9702933531377649,1.9585266821345708,0.0117666710031938,9359220.5,0.0446786285556634,-0.0079432217926858,,0.0020833333333333333,False,0.0670179428334951,False,
fitnesse,FitNesse,OCP,1.8478802992518704,1.7956413687631427,0.0522389304887276,1088638.5,0.0546919902080876,-0.0379694998786726,,0.0020833333333333333,False,0.07615938806978147,False,
hibernate-orm,Hibernate ORM,OCP,1.7997664915353182,1.90579266217412,-0.1060261706388019,11413002.5,1.4682041923641644e-35,0.0929709716203609,***,0.0020833333333333333,True,7.047380123347989e-35,True,***
jackson-databind_,Jackson Databind,OCP,1.9128487771271097,1.9216830466830468,-0.0088342695559369,18720202.0,0.0571195410523361,0.0097403050813316,,0.0020833333333333333,False,0.07615938806978147,False,
jmeter,JMeter,OCP,1.878252788104089,1.8294989542602529,0.0487538338438362,12215331.0,7.029745158575277e-05,-0.032330463225354,**,0.0020833333333333333,True,0.00018745987089534072,True,*
junit5,JUnit 5,OCP,1.9727520435967305,1.9272745612265485,0.045477482370182,9450099.0,9.357954734826393e-11,-0.0389182390905107,***,0.0020833333333333333,True,3.208441623369049e-10,True,***
selenium-trunk,Selenium,OCP,1.772079772079772,1.8264800861141013,-0.0544003140343292,1553623.0,0.0012526300818396,0.0470879756132716,*,0.0020833333333333333,True,0.0025052601636792,True,*
struts,Struts,OCP,1.9407386200973376,1.9031910112359551,0.0375476088613824,20069437.5,2.4964556130244756e-10,-0.0329197721285268,***,0.0020833333333333333,True,7.489366839073427e-10,True,***
commonslang,Commons Lang,SRP,1.9847753434831044,1.9856438515081207,-0.0008685080250163,9274335.0,0.6445578573989744,0.0011985399975703,,0.0020833333333333333,False,0.672582112068495,False,
fitnesse,FitNesse,SRP,1.86284289276808,1.861976677499522,0.0008662152685576,1043529.0,0.7621743275445023,0.00504044801016,,0.0020833333333333333,False,0.7621743275445023,False,
hibernate-orm,Hibernate ORM,SRP,1.9229422066549915,1.934109318630454,-0.0111671119754628,12490674.0,0.2401697300530879,0.0073248558364181,,0.0020833333333333333,False,0.2744796914892433,False,
jackson-databind_,Jackson Databind,SRP,1.9438511884257663,1.9577702702702704,-0.0139190818445036,18674336.0,0.0030438738627365,0.0121665209505374,,0.0020833333333333333,False,0.005619459438898154,True,
jmeter,JMeter,SRP,1.8777881040892197,1.8349549877239248,0.0428331163652946,12165592.0,0.0002578996281021,-0.0281269680511042,**,0.0020833333333333333,True,0.00061895910744504,True,*
junit5,JUnit 5,SRP,1.929700272479564,1.9264676215452892,0.0032326509342746,9123329.0,0.6396890025630638,-0.0029940320544146,,0.0020833333333333333,False,0.672582112068495,False,
selenium-trunk,Selenium,SRP,1.9088319088319088,1.9166846071044128,-0.0078526982725044,1604215.0,0.1043566123265884,0.0160574584686532,,0.0020833333333333333,False,0.13181887872832218,False,
struts,Struts,SRP,1.764385914686516,1.9013033707865168,-0.1369174561000008,16993086.0,8.263901708295714e-91,0.1254117351878717,***,0.0020833333333333333,True,9.916682049954858e-90,True,***
