method_id,project,file_path,startline,endline,method_loc,srp,ocp,dip,clone_type,method_source
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/persister/entity/mutation/EntityTableMapping.java:314-325,hibernate-orm,main/java/org/hibernate/persister/entity/mutation/EntityTableMapping.java,314,325,12.0,2,2,2,T3,"public KeyColumn (String tableName, String columnName, String writeExpression, boolean formula, JdbcMapping jdbcMapping) {
    this.tableName = tableName;
    this.columnName = columnName;
    this.writeExpression = writeExpression;
    this.formula = formula;
    this.jdbcMapping = jdbcMapping;
}"
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/api/AssertDoesNotThrowAssertionsTests.java:98-108,junit5,test/java/org/junit/jupiter/api/AssertDoesNotThrowAssertionsTests.java,98,108,11.0,2,2,2,T3,"void assertDoesNotThrowWithExecutableThatThrowsACheckedException () {
    try {
        assertDoesNotThrow ((Executable) () -> {
            throw new IOException ();
        });
        expectAssertionFailedError ();
    } catch (AssertionFailedError ex) {
        assertMessageEquals (ex, ""Unexpected exception thrown: "" + IOException.class.getName ());
    }
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/boot/models/xml/internal/XmlDocumentImpl.java:190-205,hibernate-orm,main/java/org/hibernate/boot/models/xml/internal/XmlDocumentImpl.java,190,205,16.0,2,2,2,T3,"private DefaultsImpl (String pckg, AccessType accessType, String accessorStrategy, String catalog, String schema, Boolean autoImport, Boolean impliedLaziness) {
    this.pckg = pckg;
    this.accessType = accessType;
    this.accessorStrategy = accessorStrategy;
    this.catalog = catalog;
    this.schema = schema;
    this.autoImport = NullnessHelper.nullif (autoImport, true);
    this.impliedLaziness = NullnessHelper.nullif (impliedLaziness, false);
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/ResetTest.java:449-473,struts,test/java/org/apache/struts2/views/jsp/ui/ResetTest.java,449,473,25.0,2,2,1,T3,"public void testSimpleThemeImageUsingActionOnly () throws Exception {
    TestAction testAction = (TestAction) action;
    testAction.setFoo (""bar"");
    ResetTag tag = new ResetTag ();
    tag.setPageContext (pageContext);
    tag.setTheme (""simple"");
    tag.setType (""button"");
    tag.setName (""myname"");
    tag.setLabel (""mylabel"");
    tag.setAction (""manager"");
    tag.setMethod (null);
    tag.doStartTag ();
    tag.doEndTag ();
    verify (TextFieldTag.class.getResource (""Reset-8.txt""));
    ResetTag freshTag = new ResetTag ();
    freshTag.setPageContext (pageContext);
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", strutsBodyTagsAreReflectionEqual (tag, freshTag));
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/validator/validators/ShortRangeFieldValidatorTest.java:64-76,struts,test/java/org/apache/struts2/validator/validators/ShortRangeFieldValidatorTest.java,64,76,13.0,2,2,1,T3,"public void testMaxValidation () throws Exception {
    ValidationAction action = prepareAction ((short) 11);
    ValidatorContext context = new DummyValidatorContext (action, tpf);
    ShortRangeFieldValidator validator = prepareValidator (action, context);
    validator.validate (action);
    assertTrue (context.getFieldErrors ().size () == 1);
    assertEquals (""Max is 10, min is 2 but value is 11"", context.getFieldErrors ().get (""shortRange"").get (0));
}"
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/api/AssertIterableEqualsAssertionsTests.java:377-386,junit5,test/java/org/junit/jupiter/api/AssertIterableEqualsAssertionsTests.java,377,386,10.0,2,2,2,T3,"void assertIterableEqualsDifferentIterablesAndMessage () {
    try {
        assertIterableEquals (listOf (1.1D, 2L, ""3""), listOf (1D, 2L, ""3""), ""message"");
        expectAssertionFailedError ();
    } catch (AssertionFailedError ex) {
        assertMessageStartsWith (ex, ""message"");
        assertMessageEndsWith (ex, ""iterable contents differ at index [0], expected: <1.1> but was: <1.0>"");
    }
}"
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/api/AssertThrowsAssertionsTests.java:149-162,junit5,test/java/org/junit/jupiter/api/AssertThrowsAssertionsTests.java,149,162,14.0,2,2,2,T3,"void assertThrowsWithExecutableThatThrowsAnUnexpectedException () {
    try {
        assertThrows (IllegalStateException.class, () -> {
            throw new NumberFormatException ();
        });
        expectAssertionFailedError ();
    } catch (AssertionFailedError ex) {
        assertMessageStartsWith (ex, ""Unexpected exception type thrown, "");
        assertMessageContains (ex, ""expected: <java.lang.IllegalStateException>"");
        assertMessageContains (ex, ""but was: <java.lang.NumberFormatException>"");
        assertThat (ex).hasCauseInstanceOf (NumberFormatException.class);
    }
}"
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/api/AssertFalseAssertionsTests.java:76-85,junit5,test/java/org/junit/jupiter/api/AssertFalseAssertionsTests.java,76,85,10.0,2,2,2,T3,"void assertFalseWithBooleanSupplierTrueAndString () {
    try {
        assertFalse (() -> true, ""test"");
        expectAssertionFailedError ();
    } catch (AssertionFailedError ex) {
        assertMessageEquals (ex, ""test ==> expected: <false> but was: <true>"");
        assertExpectedAndActualValues (ex, false, true);
    }
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/persister/collection/mutation/CollectionTableMapping.java:58-69,hibernate-orm,main/java/org/hibernate/persister/collection/mutation/CollectionTableMapping.java,58,69,12.0,2,2,2,T3,"public boolean containsTableName (String tableName) {
    if (this.tableName.equals (tableName)) {
        return true;
    }
    for (String space : spaces) {
        if (space.equals (tableName)) {
            return true;
        }
    }
    return false;
}"
systems/Projects/junit5-main/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Assertions.java:37-60,junit5,main/java/org/junit/platform/testkit/engine/Assertions.java,37,60,24.0,2,2,1,T3,"static void assertAll (String heading, Stream < Executable > executables) {
    Preconditions.notNull (executables, ""executables stream must not be null"");
    List < Throwable > failures = executables.map (executable -> {
        Preconditions.notNull (executable, ""individual executables must not be null"");
        try {
            executable.execute ();
            return null;
        } catch (Throwable t) {
            UnrecoverableExceptions.rethrowIfUnrecoverable (t);
            return t;
        }
    }).filter (Objects :: nonNull).collect (Collectors.toList ());
    if (! failures.isEmpty ()) {
        MultipleFailuresError multipleFailuresError = new MultipleFailuresError (heading, failures);
        failures.forEach (multipleFailuresError :: addSuppressed);
        throw multipleFailuresError;
    }
}"
