clone_type,principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,U_statistic,p_value,rank_biserial_r,significant_05
overall,SRP,702,4645,1.9088,1.9167,1604215.0,0.1044,0.0161,No
overall,OCP,702,4645,1.7721,1.8265,1553623.0,0.0013,0.0471,Yes
overall,DIP,702,4645,1.7678,1.7169,1693165.5,0.0203,-0.0385,Yes
T3,SRP,697,4645,1.9082,1.9167,1591890.0,0.0941,0.0166,No
T3,OCP,697,4645,1.7733,1.8265,1544829.5,0.0018,0.0457,Yes
T3,DIP,697,4645,1.7661,1.7169,1679055.5,0.0254,-0.0372,Yes
T2,SRP,3,4645,2.0,1.9167,7395.0,0.6584,-0.0614,No
T2,OCP,3,4645,2.0,1.8265,7987.5,0.4743,-0.1464,No
T2,DIP,3,4645,2.0,1.7169,8466.0,0.3679,-0.2151,No
T1,SRP,2,4645,2.0,1.9167,4930.0,0.7183,-0.0614,No
T1,OCP,2,4645,1.0,1.8265,806.0,0.001,0.8265,Yes
T1,DIP,2,4645,2.0,1.7169,5644.0,0.4623,-0.2151,No
