clone_type,predictor,coef,odds_ratio,OR_CI_lower_95,OR_CI_upper_95,p_value,significant_05
overall,Intercept,-1.9502,0.1423,0.1309,0.1546,0.0,Yes
overall,SRP,0.2966,1.3452,1.1986,1.5098,0.0,Yes
overall,OCP,0.1498,1.1616,1.0499,1.2851,0.0037,Yes
overall,DIP,0.1653,1.1797,1.0726,1.2975,0.0007,Yes
overall,METHOD_LOC,0.5824,1.7903,1.6014,2.0016,0.0,Yes
T3,Intercept,-1.9577,0.1412,0.1299,0.1535,0.0,Yes
T3,SRP,0.2963,1.3448,1.198,1.5097,0.0,Yes
T3,OCP,0.1561,1.1689,1.0558,1.2942,0.0027,Yes
T3,DIP,0.162,1.1759,1.069,1.2935,0.0009,Yes
T3,METHOD_LOC,0.5861,1.797,1.6068,2.0099,0.0,Yes
T1,Intercept,-32.1627,0.0,,,,No
T1,SRP,8.4015,4453.8677,0.0,inf,1.0,No
T1,OCP,-1.002,0.3671,0.1621,0.8315,0.0163,Yes
T1,DIP,45.3881,5.149930806808761e+19,,,,No
T1,METHOD_LOC,-0.3271,0.721,0.1518,3.4253,0.6807,No
