project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
selenium-trunk,org/openqa/selenium/By.java,161,169,1,T3,1,T3:15,7,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/By.java
selenium-trunk,org/openqa/selenium/By.java,366,372,1,T3,1,T3:15,7,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/By.java
selenium-trunk,org/openqa/selenium/By.java,379,384,1,T3,1,T3:55,6,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/By.java
selenium-trunk,org/openqa/selenium/By.java,447,453,1,T3,3,T1:7;T2:34;T3:56,7,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/By.java
selenium-trunk,org/openqa/selenium/Cookie.java,323,326,1,T3,1,T3:49,5,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/Cookie.java
selenium-trunk,org/openqa/selenium/Cookie.java,328,331,1,T3,2,T2:28;T3:49,5,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/Cookie.java
selenium-trunk,org/openqa/selenium/Cookie.java,333,336,1,T3,1,T3:49,5,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/Cookie.java
selenium-trunk,org/openqa/selenium/Cookie.java,348,351,1,T3,2,T2:28;T3:49,5,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/Cookie.java
selenium-trunk,org/openqa/selenium/Dimension.java,44,51,1,T3,2,T2:27;T3:48,8,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/Dimension.java
selenium-trunk,org/openqa/selenium/ImmutableCapabilities.java,63,79,1,T3,1,T3:110,17,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/ImmutableCapabilities.java
selenium-trunk,org/openqa/selenium/ImmutableCapabilities.java,81,101,1,T3,1,T3:110,17,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/ImmutableCapabilities.java
selenium-trunk,org/openqa/selenium/ImmutableCapabilities.java,103,135,1,T3,1,T3:110,17,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/ImmutableCapabilities.java
selenium-trunk,org/openqa/selenium/ImmutableCapabilities.java,175,180,1,T3,3,T1:1;T2:1;T3:2,6,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/ImmutableCapabilities.java
selenium-trunk,org/openqa/selenium/MutableCapabilities.java,64,70,1,T3,1,T3:1,7,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/MutableCapabilities.java
selenium-trunk,org/openqa/selenium/MutableCapabilities.java,129,134,1,T3,3,T1:1;T2:1;T3:2,6,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/MutableCapabilities.java
selenium-trunk,org/openqa/selenium/NoSuchElementException.java,36,38,1,T3,2,T2:26;T3:45,5,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/NoSuchElementException.java
selenium-trunk,org/openqa/selenium/NotFoundException.java,32,34,1,T3,2,T2:26;T3:45,5,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/NotFoundException.java
selenium-trunk,org/openqa/selenium/PageLoadStrategy.java,40,49,1,T3,2,T2:3;T3:7,12,systems/NicadRun/selenium-trunk/java/src/org/openqa/selenium/PageLoadStrategy.java
