size_bucket,principle,n_cloned,n_non_cloned,r_rb,p_value
Q1 (tiny),SRP,23,43652,-0.03612663795473292,0.35318754968004074
Q1 (tiny),OCP,23,43652,0.0032958298638640082,0.9358552720161949
Q1 (tiny),DIP,23,43652,0.17744991015900458,0.008630230538410784
Q2 (small),SRP,94,7653,0.03548323422048372,0.07735856780317941
Q2 (small),OCP,94,7653,-0.048216385731085776,0.029172790862715958
Q2 (small),DIP,94,7653,-0.17923022816806644,1.0271480732483168e-05
Q3 (medium),SRP,7396,11349,-0.01369760898873884,3.0481552215028957e-06
Q3 (medium),OCP,7396,11349,-0.04489551498522637,6.694255507951995e-33
Q3 (medium),DIP,7396,11349,-0.0016011374407944867,0.8069615121401629
Q4 (large),SRP,8379,13838,-0.07593476633724316,1.1195183554096043e-43
Q4 (large),OCP,8379,13838,-0.178854791194464,8.303456532564968e-209
Q4 (large),DIP,8379,13838,0.01754310931666081,0.011128216529210377
