project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
struts,main/java/org/demo/rest/example/Order.java,32,37,1,T3,1,T3:5,5,systems/NicadRun/struts-main/apps/rest-showcase/src/main/java/org/demo/rest/example/Order.java
struts,main/java/org/demo/rest/example/OrdersController.java,75,80,1,T3,1,T3:31,6,systems/NicadRun/struts-main/apps/rest-showcase/src/main/java/org/demo/rest/example/OrdersController.java
struts,main/java/org/demo/rest/example/OrdersController.java,83,89,1,T3,1,T3:31,6,systems/NicadRun/struts-main/apps/rest-showcase/src/main/java/org/demo/rest/example/OrdersController.java
struts,main/java/org/demo/rest/example/OrdersController.java,92,96,1,T3,1,T3:31,6,systems/NicadRun/struts-main/apps/rest-showcase/src/main/java/org/demo/rest/example/OrdersController.java
struts,test/java/it/org/apache/struts2/rest/example/GetOrdersTest.java,37,41,1,T3,1,T3:34,6,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/GetOrdersTest.java
struts,test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java,36,41,1,T3,2,T2:18;T3:34,6,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java
struts,test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java,44,49,1,T3,2,T2:18;T3:34,6,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java
struts,test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java,52,57,1,T3,2,T2:18;T3:34,6,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java
struts,test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java,60,65,1,T3,2,T2:18;T3:34,6,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/ListOrdersTest.java
struts,test/java/it/org/apache/struts2/rest/example/ParameterUtils.java,23,29,1,T3,2,T2:15;T3:25,7,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/ParameterUtils.java
struts,test/java/it/org/apache/struts2/rest/example/PostOrderTest.java,52,60,1,T3,1,T3:32,11,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/PostOrderTest.java
struts,test/java/it/org/apache/struts2/rest/example/PostOrderTest.java,63,74,1,T3,1,T3:32,11,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/PostOrderTest.java
struts,test/java/it/org/apache/struts2/rest/example/PostOrderTest.java,77,89,1,T3,1,T3:32,11,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/PostOrderTest.java
struts,test/java/it/org/apache/struts2/rest/example/PostOrderTest.java,92,103,1,T3,1,T3:33,9,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/PostOrderTest.java
struts,test/java/it/org/apache/struts2/rest/example/PostOrderTest.java,106,117,1,T3,1,T3:33,9,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/PostOrderTest.java
struts,test/java/it/org/apache/struts2/rest/example/PostOrderTest.java,120,128,1,T3,1,T3:33,9,systems/NicadRun/struts-main/apps/rest-showcase/src/test/java/it/org/apache/struts2/rest/example/PostOrderTest.java
