method_id,principle,rater_scores,na_flags,reason
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/grid/Main.java:116-155,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/deser/creators/ConstructorDetectorTest.java:113-115,srp,"{""srp_rater_annotator_a"": 2.0, ""srp_rater_annotator_b"": NaN}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 1}",na_or_missing
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/ActionSupport.java:345-360,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/util/JDateField.java:155-171,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java:116-138,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/action/What.java:66-99,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/sql/results/graph/instantiation/internal/DynamicInstantiationAssemblerInjectionImpl.java:34-53,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/JsonValueSerializer.java:294-332,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/BeanSerializerBase.java:746-778,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/MavenStarterTests.java:83-96,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 0}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
