method_id,principle,rater_scores
systems/Projects/SolidLeaning/fitnesse/src/fitnesse/wiki/RecentChangesWikiPage.java:21-24,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/SolidLeaning/fitnesse/test/fit/BindingTest.java:70-72,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/refactoring/RenamePageResponderTest.java:27-29,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/RandomUtils.java:168-170,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/function/Failable.java:471-473,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/commons-lang-master/src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java:318-320,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/engine/transaction/jta/platform/internal/AtomikosJtaPlatform.java:20-30,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/sql/exec/spi/ExecutionContext.java:85-87,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.java:1280-1320,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/deser/builder/BuilderErrorHandlingTest.java:43-45,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/jsontype/TestDoubleJsonCreator.java:167-169,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
