method_id,principle,agreed_score,pattern,rationale
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/files/PublisherTest.java:72-79,srp,2,TRUE,"Method adds pages, traverses, and then checks to confirm."
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/refactoring/SearchReplaceMethodResponderTest.java:103-130,srp,2,TRUE,Method adds pages and tests the assertion.
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/wiki/fs/DiskFileSystemTest.java:24-34,srp,2,TRUE,Method creates files and then checks to confirm operation.
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/StdKeySerializers.java:154-197,srp,0,FALSE,The ENUM case should be delegated to a separate method as the other cases are.
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/GraphiteBackendListenerClient.java:301-331,srp,1,FALSE,Method mainly does one responsibility (setup) but does too many things for setup when it could delegate more.
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/testbeans/gui/ComboStringEditor.java:110-145,srp,2,FALSE,Method acts as a constructor and it is difficult to find any parts that could be delegated.
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/threads/JMeterThread.java:773-785,srp,1,FALSE,"It is unclear whether this method violates SRP, based on the function of the other methods being called."
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/gui/action/ParseCurlCommandActionTest.java:459-468,srp,2,TRUE,Method creates objects and then checks to confirm operation.
systems/Projects/jmeter-master/src/protocol/jdbc/src/main/java/org/apache/jmeter/protocol/jdbc/AbstractJDBCTestElement.java:163-239,srp,0,FALSE,"Too many cases, cases should delegate to another method instead of handling the responsibility of each case."
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/text/AbstractLocalizedTextProvider.java:111-133,srp,1,FALSE,Unclear if LOG messages are outside the scope of one responsibility.
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java:96-114,srp,1,TRUE,Method instantiates objects and values and then checks to confirm operation. It is unclear whether these responsibilities violate SRP.
systems/Projects/struts-main/plugins/json/src/main/java/org/apache/struts2/json/JSONReader.java:75-123,srp,2,FALSE,Method only has one responsibility
